date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:39:15	123/123	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2004%20Oct%202017%2018:39:14%20GMT	http://html.physcode.com/robots.txt		(from )
23:39:17	47162/47162	---MCZ	200	added ('OK')	text/html	etag:W/%22590ae27a-b83a%22	http://html.physcode.com/travel/	C:/Users/uroosa/Desktop/temp1/html.physcode.com/travel/index.html	(from )
23:39:18	162/162	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2004%20Oct%202017%2018:39:18%20GMT	http://html.physcode.com/travel/xmlrpc.php	C:/Users/uroosa/Desktop/temp1/html.physcode.com/travel/xmlrpc.php	(from http://html.physcode.com/travel/)
23:39:19	109109/109109	---MCZ	200	added ('OK')	text/css	etag:W/%2258c7c1d1-1aa35%22	http://html.physcode.com/travel/assets/css/bootstrap.min.css	C:/Users/uroosa/Desktop/temp1/html.physcode.com/travel/assets/css/bootstrap.min.css	(from http://html.physcode.com/travel/)
23:39:19	29067/29067	---MCZ	200	added ('OK')	text/css	etag:W/%2258c7c1d2-718b%22	http://html.physcode.com/travel/assets/css/font-awesome.min.css	C:/Users/uroosa/Desktop/temp1/html.physcode.com/travel/assets/css/font-awesome.min.css	(from http://html.physcode.com/travel/)
23:39:19	3090/3090	---MCZ	200	added ('OK')	text/css	etag:W/%2258c7c1d0-c12%22	http://html.physcode.com/travel/assets/css/flaticon.css	C:/Users/uroosa/Desktop/temp1/html.physcode.com/travel/assets/css/flaticon.css	(from http://html.physcode.com/travel/)
23:39:20	8897/8897	---MCZ	200	added ('OK')	text/css	etag:W/%2258c7c1d2-22c1%22	http://html.physcode.com/travel/assets/css/font-linearicons.css	C:/Users/uroosa/Desktop/temp1/html.physcode.com/travel/assets/css/font-linearicons.css	(from http://html.physcode.com/travel/)
23:39:21	211627/211627	---MCZ	200	added ('OK')	text/css	etag:W/%22590bcfbb-33aab%22	http://html.physcode.com/travel/style.css	C:/Users/uroosa/Desktop/temp1/html.physcode.com/travel/style.css	(from http://html.physcode.com/travel/)
23:39:21	17595/17595	---MCZ	200	added ('OK')	text/css	etag:W/%2258c7c1d3-44bb%22	http://html.physcode.com/travel/assets/css/travel-setting.css	C:/Users/uroosa/Desktop/temp1/html.physcode.com/travel/assets/css/travel-setting.css	(from http://html.physcode.com/travel/)
23:39:22	21411/21411	---M--	200	added ('OK')	image/png	etag:%2258ba61e0-53a3%22	http://html.physcode.com/travel/images/favicon.png	C:/Users/uroosa/Desktop/temp1/html.physcode.com/travel/images/favicon.png	(from http://html.physcode.com/travel/)
